ID,Source spreadsheet row,Source agency,Display name,Agency type,State,City used,Latitude,Longitude,Location method,Confidence,Census place,Coordinate source,Included in map
142,150,Glendale Police Department (CA),Glendale Police Department,Police,California,Glendale,34.181393,-118.24583,Agency-name city match,High,Glendale city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
143,151,Glendale Police Department AZ,Glendale Police Department,Police,Arizona,Glendale,33.533111,-112.189901,Agency-name city match,High,Glendale city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
144,152,Globe Police Department (AZ),Globe Police Department,Police,Arizona,Globe,33.393642,-110.741106,Agency-name city match,High,Globe city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
145,153,Goodyear Police Department (AZ),Goodyear Police Department,Police,Arizona,Goodyear,33.254031,-112.366472,Agency-name city match,High,Goodyear city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
146,154,Grass Valley Police Department (CA),Grass Valley Police Department,Police,California,Grass Valley,39.220305,-121.052654,Agency-name city match,High,Grass Valley city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
147,155,Gresham Police Department,Gresham Police Department,Police,Oregon,Gresham,45.502319,-122.441609,Agency-name city match,High,Gresham city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
148,156,Hawthorne Police Department,Hawthorne Police Department,Police,California,Hawthorne,33.914775,-118.348083,Agency-name city match,High,Hawthorne city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
149,157,Henderson Police Department (NV),Henderson Police Department,Police,Nevada,Henderson,36.008958,-115.0268,Agency-name city match,High,Henderson city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
150,158,Hillsborough Police Department (CA),Hillsborough Police Department,Police,California,Hillsborough,37.557206,-122.358541,Agency-name city match,High,Hillsborough town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
151,159,HSI,HSI,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
152,160,Huachuca City Police Department (AZ),Huachuca City Police Department,Police,Arizona,Huachuca City,31.630804,-110.342193,Agency-name city match,High,Huachuca City town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
153,161,Huntington Park Police Department (CA),Huntington Park Police Department,Police,California,Huntington Park,33.979248,-118.217438,Agency-name city match,High,Huntington Park city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
154,162,ICE ERO,ICE ERO,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
