ID,Source spreadsheet row,Source agency,Display name,Agency type,State,City used,Latitude,Longitude,Location method,Confidence,Census place,Coordinate source,Included in map
296,304,Upland Police Department (CA),Upland Police Department,Police,California,Upland,34.116073,-117.659922,Agency-name city match,High,Upland city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
297,305,US Border Patrol (NATL),US Border Patrol (NATL),Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
298,306,US Postal Inspection Service,US Postal Inspection Service,Federal,District of Columbia,Washington,38.904247,-77.016517,Manual headquarters/office city,Medium,Washington city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
299,307,Vernon Police Department,Vernon Police Department,Police,California,Vernon,34.001123,-118.210869,Agency-name city match,High,Vernon city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
300,308,Washoe County District Attorney (NV),Washoe County District Attorney,Other,Nevada,Reno,39.549097,-119.849907,County seat / headquarters city,High,Reno city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
301,309,Washoe County Sheriffs Office,Washoe County Sheriffs Office,Sheriff,Nevada,Reno,39.549097,-119.849907,County seat / headquarters city,High,Reno city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
302,310,West Covina Police Department,West Covina Police Department,Police,California,West Covina,34.055941,-117.909937,Agency-name city match,High,West Covina city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
303,311,Whittier Police Department,Whittier Police Department,Police,California,Whittier,33.966827,-118.020122,Agency-name city match,High,Whittier city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
304,312,Wickenburg Police Department (AZ),Wickenburg Police Department,Police,Arizona,Wickenburg,33.985756,-112.76834,Agency-name city match,High,Wickenburg town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
305,313,Yavapai County Sheriffs Department (AZ),Yavapai County Sheriffs Department,Sheriff,Arizona,Prescott,34.592241,-112.446733,County seat / headquarters city,High,Prescott city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
306,314,Yavapai-Apache Police Department (AZ),Yavapai-Apache Police Department,Police,Arizona,Camp Verde,34.569405,-111.857014,Manual headquarters/office city,Medium,Camp Verde town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
307,315,Yuma County Sheriffs Office (AZ),Yuma County Sheriffs Office,Sheriff,Arizona,Yuma,32.516286,-114.521782,County seat / headquarters city,High,Yuma city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
308,316,Yuma Police Department (AZ),Yuma Police Department,Police,Arizona,Yuma,32.516286,-114.521782,Agency-name city match,High,Yuma city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
